OrderDate,CustomerID,ProductCategory,SalesAmount,ProfitMargin,Region
2024-04-12,543950fd,Books,101.65,5.07,East
2024-04-12,171a73bf,Electronics,251.39,8.58,Central
2024-09-11,f228d8c3,Groceries,126.09,17.01,Central
2024-07-07,9008e169,Electronics,450.33,9.53,East
2025-01-17,cb98e495,Home Appliances,120.3,15.61,West
2024-10-15,d8467c2f,Electronics,135.25,23.43,East
2024-04-13,2a38355f,Clothing,451.46,5.42,West
2025-02-21,86df34c6,Books,320.36,16.76,Central
2025-02-24,ea105115,Books,233.26,8.57,South
2024-06-19,c7adb680,Groceries,262.02,23.59,South
2024-12-16,c686e63d,Books,375.49,17.47,Central
2024-09-06,13fecd00,Clothing,217.71,17.56,South
2024-09-24,8c3c264f,Groceries,280.01,22.4,East
2024-04-26,ec0f1d2b,Groceries,131.25,10.66,Central
2025-01-24,33da284d,Clothing,64.06,26.09,South
2024-07-27,0e7efd4f,Books,377.19,14.94,West
2024-08-28,1fe98682,Clothing,346.55,18.11,West
2024-05-07,04574dc9,Electronics,206.1,18.04,East
2025-02-12,28da6dc2,Home Appliances,191.74,19.42,West
2024-08-26,fa0f9538,Electronics,136.23,26.01,North
2024-07-10,2bbd6ee0,Groceries,21.92,6.73,South
2024-06-24,85123124,Books,73.69,28.12,Central
2025-02-16,a32f1c7d,Electronics,169.29,10.0,South
2024-08-31,81054663,Electronics,32.5,6.85,East
2024-07-03,603b43f9,Electronics,258.42,25.13,Central
2024-08-08,b1ee232c,Home Appliances,330.4,11.04,West
2024-06-14,3d698e58,Home Appliances,159.74,19.85,West
2025-01-04,538c69fa,Books,215.11,28.32,North
2024-07-23,e5f58e6d,Electronics,357.6,13.85,Central
2024-10-18,6e168c44,Electronics,225.26,23.86,Central
2024-12-13,3a5770a0,Books,357.67,14.22,Central
2024-06-23,c834e7f2,Groceries,397.44,11.57,North
2024-09-30,45774f4b,Electronics,165.24,14.42,East
2024-07-25,63e4ca95,Home Appliances,431.43,19.35,South
2024-12-06,2ac103b2,Clothing,47.79,22.7,South
2025-01-23,afa02cf7,Books,107.56,15.16,Central
